dist,from_city,to_city
0.0,"Buffalo, NY","Buffalo, NY"
797.47,"Buffalo, NY","Charlotte, NC"
390.04,"Buffalo, NY","Columbus, OH"
767.58,"Buffalo, NY","Durham, NC"
546.71,"Buffalo, NY","Indianapolis, IN"
400.66,"Buffalo, NY","Allentown, PA"
651.27,"Buffalo, NY","Louisville, KY"
691.82,"Buffalo, NY","Norfolk, VA"
636.06,"Buffalo, NY","Pawtucket, RI"
72.19,"Buffalo, NY","Rochester, NY"
331.48,"Buffalo, NY","Scranton, PA"
149.14,"Buffalo, NY","Syracuse, NY"
335.42,"Buffalo, NY","Toledo, OH"
2190.62,"Buffalo, NY","Albuquerque, NM"
2188.55,"Buffalo, NY","El Paso, TX"
3227.07,"Buffalo, NY","Fresno, CA"
1083.6,"Buffalo, NY","Des Moines, IA"
2925.33,"Buffalo, NY","Las Vegas, NV"
1025.55,"Buffalo, NY","Memphis, TN"
842.26,"Buffalo, NY","Nashville, TN"
1507.62,"Buffalo, NY","Oklahoma City, OK"
1193.82,"Buffalo, NY","Omaha, NE"
2903.79,"Buffalo, NY","Reno, NV"
1671.07,"Buffalo, NY","Round Rock, TX"
3038.49,"Buffalo, NY","West Sacramento, CA"
1783.84,"Buffalo, NY","San Antonio, TX"
2505.34,"Buffalo, NY","Salt Lake City, UT"
3073.7,"Buffalo, NY","Tacoma, WA"
1253.98,"Buffalo, NY","Wichita, KS"
443.51,"Buffalo, NY","Baltimore, MD"
676.92,"Buffalo, NY","Boston, MA"
463.44,"Buffalo, NY","New York City, NY"
1390.98,"Buffalo, NY","St. Petersburg, FL"
582.96,"Buffalo, NY","Chicago, IL"
214.66,"Buffalo, NY","Cleveland, OH"
252.42,"Buffalo, NY","Detroit, MI"
1058.19,"Buffalo, NY","Kansas City, MO"
1033.57,"Buffalo, NY","Minneapolis, MN"
1749.14,"Buffalo, NY","Houston, TX"
2987.85,"Buffalo, NY","Anaheim, CA"
3116.7,"Buffalo, NY","Oakland, CA"
3060.8,"Buffalo, NY","Seattle, WA"
1509.29,"Buffalo, NY","Arlington, TX"
1037.95,"Buffalo, NY","Atlanta, GA"
1515.89,"Buffalo, NY","Miami, FL"
445.22,"Buffalo, NY","Philadelphia, PA"
489.07,"Buffalo, NY","Washington, D.C., DC"
495.18,"Buffalo, NY","Cincinnati, OH"
672.33,"Buffalo, NY","Milwaukee, WI"
292.77,"Buffalo, NY","Pittsburgh, PA"
845.38,"Buffalo, NY","St. Louis, MO"
2625.18,"Buffalo, NY","Phoenix, AZ"
1651.75,"Buffalo, NY","Denver, CO"
2998.76,"Buffalo, NY","Los Angeles, CA"
2920.03,"Buffalo, NY","San Diego, CA"
3122.32,"Buffalo, NY","San Francisco, CA"
794.26,"Charlotte, NC","Buffalo, NY"
0.0,"Charlotte, NC","Charlotte, NC"
