City,Coordinates,Teams
"Buffalo, NY",POINT (-78.87839219999999 42.8867166),Buffalo Bisons (AAA)
"Charlotte, NC",POINT (-80.84312679999999 35.2270869),Charlotte Knights (AAA)
"Columbus, OH",POINT (-83.00070650000001 39.9622601),Columbus Clippers (AAA)
"Durham, NC",POINT (-78.90180530000001 35.996653),Durham Bulls (AAA)
"Indianapolis, IN",POINT (-86.1583502 39.7683331),Indianapolis Indians (AAA)
"Allentown, PA",POINT (-75.4712794 40.6022059),Lehigh Valley IronPigs (AAA)
"Louisville, KY",POINT (-85.759407 38.2542376),Louisville Bats (AAA)
"Norfolk, VA",POINT (-76.2929252 36.8462923),Norfolk Tides (AAA)
"Pawtucket, RI",POINT (-71.38255580000001 41.878711),Pawtucket Red Sox (AAA)
"Rochester, NY",POINT (-77.61521399999999 43.157285),Rochester Red Wings (AAA)
"Scranton, PA",POINT (-75.7382478 41.353413),Scranton/Wilkes-Barre RailRiders (AAA)
"Syracuse, NY",POINT (-76.14742440000001 43.0481221),Syracuse Mets (AAA)
"Toledo, OH",POINT (-83.51272830000001 41.6786754),Toledo Mud Hens (AAA)
"Albuquerque, NM",POINT (-106.6509851 35.0841034),Albuquerque Isotopes (AAA)
"El Paso, TX",POINT (-106.487287 31.7600372),El Paso Chihuahuas (AAA)
"Fresno, CA",POINT (-119.708861260756 36.7295295),Fresno Grizzlies (AAA)
"Des Moines, IA",POINT (-93.6037149 41.5910641),Iowa Cubs (AAA)
"Las Vegas, NV",POINT (-115.149225 36.1662859),Las Vegas Aviators (AAA)
"Memphis, TN",POINT (-90.05162850000001 35.1490215),Memphis Redbirds (AAA)
"Nashville, TN",POINT (-86.7743531 36.1622296),Nashville Sounds (AAA)
"Oklahoma City, OK",POINT (-97.5170536 35.4729886),Oklahoma City Dodgers (AAA)
"Omaha, NE",POINT (-96.0422378 41.1544433),Omaha Storm Chasers (AAA)
"Reno, NV",POINT (-119.8136744 39.52927),Reno Aces (AAA)
"Round Rock, TX",POINT (-97.67889340000001 30.508235),Round Rock Express (AAA)
"West Sacramento, CA",POINT (-121.530234 38.5804609),Sacramento River Cats (AAA)
"San Antonio, TX",POINT (-98.49514050000001 29.4246002),San Antonio Missions (AAA)
"Salt Lake City, UT",POINT (-111.8904308 40.7670126),Salt Lake Bees (AAA)
"Tacoma, WA",POINT (-122.4398746 47.2495798),Tacoma Rainiers (AAA)
"Wichita, KS",POINT (-97.3375448 37.6922361),Wichita PCL (AAA)
"Baltimore, MD",POINT (-76.610759 39.2908816),Baltimore Orioles (AL)
"Boston, MA",POINT (-71.0582912 42.3602534),Boston Red Sox (AL)
"New York City, NY",POINT (-74.00601519999999 40.7127281),"New York Yankees (AL), New York Mets (NL)"
"St. Petersburg, FL",POINT (-82.66950850000001 27.7703796),Tampa Bay Rays (AL)
"Chicago, IL",POINT (-87.6244212 41.8755616),"Chicago White Sox (AL), Chicago Cubs (NL)"
"Cleveland, OH",POINT (-81.69344460000001 41.5051613),Cleveland Indians (AL)
"Detroit, MI",POINT (-83.04664030000001 42.3315509),Detroit Tigers (AL)
"Kansas City, MO",POINT (-94.5781416 39.100105),Kansas City Royals (AL)
"Minneapolis, MN",POINT (-93.26821773581101 44.9706705),Minnesota Twins (AL)
"Houston, TX",POINT (-95.3676974 29.7589382),Houston Astros (AL)
"Anaheim, CA",POINT (-117.911732 33.8347516),Los Angeles Angels (AL)
"Oakland, CA",POINT (-122.2712 37.8044),Oakland Athletics (AL)
"Seattle, WA",POINT (-122.3300624 47.6038321),Seattle Mariners (AL)
"Arlington, TX",POINT (-97.105624826688 32.701939),Texas Rangers (AL)
"Atlanta, GA",POINT (-84.39018489999999 33.7490987),"Atlanta Braves (NL),Gwinnett Stripers (AAA)"
"Miami, FL",POINT (-80.1936589 25.7742658),Miami Marlins (NL)
"Philadelphia, PA",POINT (-75.16352620000001 39.9527237),Philadelphia Phillies (NL)
"Washington, D.C., DC",POINT (-77.0365529 38.8948932),Washington Nationals (NL)
"Cincinnati, OH",POINT (-84.51246020000001 39.1014537),Cincinnati Reds (NL)
"Milwaukee, WI",POINT (-87.92249700000001 43.0349931),Milwaukee Brewers (NL)
"Pittsburgh, PA",POINT (-79.9900861 40.4416941),Pittsburgh Pirates (NL)
"St. Louis, MO",POINT (-90.1994097 38.6268039),St. Louis Cardinals (NL)
"Phoenix, AZ",POINT (-112.0773456 33.4485866),Arizona Diamondbacks (NL)
"Denver, CO",POINT (-104.9848623 39.7392364),Colorado Rockies (NL)
"Los Angeles, CA",POINT (-118.2427666 34.0536909),Los Angeles Dodgers (NL)
"San Diego, CA",POINT (-117.1627714 32.7174209),San Diego Padres (NL)
"San Francisco, CA",POINT (-122.4194 37.7749),San Francisco Giants (NL)
